strategy,timeframe,composite,sortino,sharpe,calmar,trades_per_day,max_drawdown,total_return,n_trades,length,mult,rsi_window,rsi_lower,rsi_upper,atr_ratio_threshold,garch_window,vol_percentile,k,horizon,max_bars_back,kernel_lookback,kernel_alpha,ema_len,fast_window,slow_window,sl_stop,tp_stop
lorentzian_knn,4h,1.1223082306017869,1.3492995170915498,1.1564115376137023,0.7855498749368547,0.6436388508891929,0.2724334372934516,1.174648558503227,941,,,,,,,,,16,8,1000,8,2.0,,,,0.03,
lorentzian_knn,4h,1.1196231147771665,1.2484815135607616,1.0581481737941865,1.0092868573820195,0.5068399452804377,0.1906307552172836,1.0236860777198888,741,,,,,,,,,2,8,500,16,0.5,,,,0.03,
lorentzian_knn,4h,1.1140196469732229,1.339301748582474,1.038897663892694,0.8887654945747507,1.1621067031463748,0.2322668198712867,1.120769042179006,1699,,,,,,,,,4,8,500,4,0.5,,,,0.03,
lorentzian_knn,4h,1.1011300399479154,1.3238468397075802,1.027346610728705,0.8779577361542397,1.1593707250341998,0.2319220110360861,1.1010291755069077,1695,,,,,,,,,4,8,500,4,2.0,,,,0.03,
lorentzian_knn,4h,1.1005053944485446,1.3231211247247934,1.0268087684231175,0.8773810467723062,1.1593707250341998,0.2319220110360865,1.1000940736611955,1695,,,,,,,,,4,8,500,4,1.0,,,,0.03,
lorentzian_knn,4h,1.0985643140259078,1.214052434550549,1.0291027184802055,1.0140417488720883,0.5150478796169631,0.1830965103881136,0.9782934829896228,753,,,,,,,,,2,8,500,16,2.0,,,,0.03,
lorentzian_knn,4h,1.0967213394805038,1.1747492613367467,0.9979947947617024,1.0914106550576486,0.5971272229822161,0.1588023790300072,0.8970373965944228,873,,,,,,,,,2,4,1000,16,0.5,,,,0.03,
lorentzian_knn,4h,1.0926103478937752,1.2482723856771685,1.0490823108823932,0.928589001193966,0.6942544459644323,0.2041874248144696,1.0047511457264096,1015,,,,,,,,,8,8,1000,8,2.0,,,,0.03,
lorentzian_knn,4h,1.0921958329120371,1.2125860088682316,1.0277737234670536,0.9960977077487612,0.512311901504788,0.1858118310169318,0.9744145367801392,749,,,,,,,,,2,8,500,16,1.0,,,,0.03,
lorentzian_knn,4h,1.08539141130828,1.1473744220223343,0.9661377652010767,1.122001043130078,0.6210670314637483,0.1469797521981094,0.8431689835924829,908,,,,,,,,,16,8,1000,8,0.5,,,,0.03,
